,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
2.26.(수)09시 기준,"46,127","1,146",22,"1,113",11,"44,981","16,734","28,247"
2.27.(목)09시 기준,"57,990","1,595",24,"1,559",12,"56,395","21,097","35,298"
증감,"+11,863",+449,+2*,+446,+1**,"+11,414","+4,363","+7,051"
