,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 7.(토)0시 기준,"178,189","6,767",118,"6,605",44,"171,422","19,620","151,802"
3. 8.(일)0시 기준,"188,518","7,134",130,"6,954",50,"181,384","19,376","162,008"
변동,"+10,329",+367,+12,+349,+6,"+9,962",-244,"+10,206"
