,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 6.(금)0시 기준,"164,740","6,284",108,"6,134",42,"158,456","21,832","136,624"
3. 7.(토)0시 기준,"178,189","6,767",118,"6,605",44,"171,422","19,620","151,802"
변동,"+13,449",+483,+10,+471,+2,"12,966","-2,212","+15,178"
