,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
2.27.(목)09시 기준,"57,990","1,595",24,"1,559",12,"56,395","21,097","35,298"
2.28.(금)09시 기준,"70,940","2,022",26,"1,983",13,"68,918","24,751","44,167"
증감,"+12,950",+427,+2*,+424,+1**,"+12,523","+3,654","+8,869"
