,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 8.(일)0시 기준,"188,518","7,134",130,"6,954",50,"181,384","19,376","162,008"
3. 9.(월)0시 기준,"196,618","7,382",166,"7,165",51,"189,236","17,458","171,778"
변동,"+8,100",+248,+36,+211,+1,"+7,852","-1,918","+9,770"
