,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 2.(월)0시 기준,"109,591","4,212",31,"4,159",22,"105,379","33,799","71,580"
3. 3.(화)0시 기준,"125,851","4,812",34,"4,750",28,"121,039","35,555","85,484"
변동,"+16,260",+600,+3,+591,+6,"+15,660","+1,756","+13,904"
