,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
2.29.(토)09시 기준,"85,693","2,931",27,"2,888",16,"82,762","29,154","53,608"
3. 1.(일)09시 기준,"96,985","3,526",30,"3,479",17,"93,459","32,422","61,037"
증감,"+11,292",+595,+3*,+591,+1**,"+10,697","+3,268","+7,429"
