,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 11(수)0시 기준,"222,395","7,755",288,"7,407",60,"214,640","18,540","196,100"
3. 12(목)0시 기준,"234,998","7,869",333,"7,470",66,"227,129","17,727","209,402"
변동,"+12,603",+114,+45,+63,+6,"+12,489",-813,"+13,302"
