,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 3.(화)0시 기준,"125,851","4,812",34,"4,750",28,"121,039","35,555","85,484"
3. 4.(수)0시 기준,"136,707","5,328",41,"5,255",32,"131,379","28,414","102,965"
변동,"+10,856",+516,+7,+505,+4,"+10,340","-7,141","+17,481"
