,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 10(화)0시 기준,"210,144","7,513",247,"7,212",54,"202,631","18,452","184,179"
3. 4.(수)0시 기준,"136,707","5,328",41,"5,255",32,"131,379","28,414","102,965"
3. 5.(목)0시 기준,"146,541","5,766",88,"5,643",35,"140,775","21,810","118,965"
3. 6.(금)0시 기준,"164,740","6,284",108,"6,134",42,"158,456","21,832","136,624"
3. 7.(토)0시 기준,"178,189","6,767",118,"6,605",44,"171,422","19,620","151,802"
3. 8.(일)0시 기준,"188,518","7,134",130,"6,954",50,"181,384","19,376","162,008"
3. 9.(월)0시 기준,"196,618","7,382",166,"7,165",51,"189,236","17,458","171,778"
