,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 5.(목)0시 기준,"146,541","5,766",88,"5,643",35,"140,775","21,810","118,965"
3. 6.(금)0시 기준,"164,740","6,284",108,"6,134",42,"158,456","21,832","136,624"
변동,"+18,199",+518,+20,+491,+7,"+17,681",+22,"+17,659"
