,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 10(화)0시 기준,"210,144","7,513",247,"7,212",54,"202,631","18,452","184,179"
3. 11(수)0시 기준,"222,395","7,755",288,"7,407",60,"214,640","18,540","196,100"
변동,"+12,251",+242,+41,+195,+6,"+12,009",+88,"+11,921"
