,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
3. 9.(월)0시 기준,"196,618","7,382",166,"7,165",51,"189,236","17,458","171,778"
3. 10(화)0시 기준,"210,144","7,513",247,"7,212",54,"202,631","18,452","184,179"
변동,"+13,526",+131,+81,+47,+3,"+13,395",+994,"+12,401"
